sim_num,rate_num,ratio,trace,score,var_fin,learn_time,n_selected,n_pruned
0,4,60,True,51.0,0.0005901922025014205,52.650000000000006,0,60
0,4,60,False,56.0,0.0020776372013587463,,0,60
0,4,65,True,60.0,0.0003489829389270598,31.75,65,0
0,4,65,False,55.0,0.04745821467668292,57.1,1,64
0,4,70,True,58.0,0.004608598082417545,,30,40
0,4,70,False,80.0,0.18627621300632477,51.300000000000004,70,0
0,4,75,True,59.0,0.0009941578157554435,201.05,75,0
0,4,75,False,53.0,0.04670031087193985,,75,0
0,4,80,True,53.0,0.0005406157342453206,,29,51
0,4,80,False,99.0,0.23559846112460692,104.75,40,40
0,4,85,True,53.0,0.008911597572483956,115.10000000000001,42,43
0,4,85,False,53.0,0.05959892915346852,37.5,84,1
0,4,90,True,56.0,0.005660529865131066,125.15,63,27
0,4,90,False,80.0,0.233918821873731,89.9,45,45
0,4,95,True,56.0,0.013680125265797793,281.5,48,47
0,4,95,False,59.0,0.06742960364398083,104.95,1,94
0,4,100,True,58.0,0.1432580127595502,263.2,64,36
0,4,100,False,45.0,0.2236916552396047,80.9,50,50
0,5,5,True,43.0,0.0,5.800000000000001,5,0
0,5,5,False,53.0,0.0,5.800000000000001,5,0
0,5,10,True,56.0,0.0,5.800000000000001,10,0
0,5,10,False,61.0,0.0,5.800000000000001,10,0
0,5,15,True,53.0,0.0,5.800000000000001,15,0
0,5,15,False,49.0,0.0,5.800000000000001,15,0
0,5,20,True,53.0,0.0,5.800000000000001,20,0
0,5,20,False,58.0,0.0,5.800000000000001,20,0
0,5,25,True,53.0,0.0,5.800000000000001,25,0
0,5,25,False,97.0,0.07994219718145255,97.15,13,12
0,5,30,True,52.0,0.0,5.800000000000001,30,0
0,5,30,False,99.0,0.11055637378012184,130.85,15,15
0,5,35,True,56.0,0.0,5.800000000000001,35,0
0,5,35,False,96.0,0.1178377947804531,68.10000000000001,17,18
0,5,40,True,48.0,0.0,5.800000000000001,40,0
0,5,40,False,97.0,0.16122176969936003,87.80000000000001,20,20
0,5,45,True,54.0,0.0,5.800000000000001,45,0
0,5,45,False,100.0,0.1560298667379795,91.80000000000001,22,23
0,5,50,True,48.0,0.0,5.800000000000001,50,0
0,5,50,False,100.0,0.1797617867914991,60.550000000000004,25,25
0,5,55,True,52.0,2.5238275156141556e-05,29.25,55,0
0,5,55,False,54.0,0.004929486449289605,83.25,0,55
0,5,60,True,51.0,0.0013239507127713452,24.150000000000002,15,45
0,5,60,False,99.0,0.1992191052801801,131.25,30,30
0,5,65,True,55.0,0.0011123257705801088,,2,63
0,5,65,False,48.0,0.09905623166547872,78.75,32,33
0,5,70,True,46.0,0.004341949449084358,222.60000000000002,29,41
0,5,70,False,100.0,0.22461798951379255,108.4,35,35
0,5,75,True,53.0,0.011604887483040937,,38,37
0,5,75,False,63.0,0.13341862461898854,199.15,37,38
0,5,80,True,51.0,0.03926576677656704,,40,40
0,5,80,False,49.0,0.10917038623058209,66.7,0,80
0,5,85,True,65.0,0.008963404052652321,143.55,43,42
0,5,85,False,95.0,0.23224796444126936,47.300000000000004,42,43
0,5,90,True,57.0,0.021129338495536467,147.45000000000002,87,3
0,5,90,False,100.0,0.23525328871377948,97.65,46,44
