,count,rate_num,ratio,trace,score,var_fin,learn_time,n_selected,n_pruned
330,0,0,85,False,100.0,0.2554322421454903,58.650000000000006,42,43
331,1,0,85,False,97.0,0.23441932621245473,178.95000000000002,43,42
332,2,0,85,False,99.0,0.21831874704895607,103.25,42,43
333,3,0,85,False,98.0,0.22411921811238897,167.05,42,43
334,4,0,85,False,99.0,0.22728800932022608,,42,43
335,5,0,85,False,99.0,0.22652257912112683,83.7,43,42
336,6,0,85,False,98.0,0.23653298576454837,108.25,43,42
337,7,0,85,False,99.0,0.22475423026094024,231.20000000000002,43,42
338,8,0,85,False,99.0,0.22356960515667176,147.35,42,43
339,9,0,85,False,99.0,0.2050903821443067,206.25,43,42
340,0,0,90,True,52.0,0.0002009007118451206,131.20000000000002,69,21
341,1,0,90,True,49.0,0.0003747164465727961,164.3,48,42
342,2,0,90,True,53.0,0.0017262510433638109,163.35000000000002,0,90
343,3,0,90,True,52.0,0.00011583196099938429,162.45000000000002,45,0
344,4,0,90,True,53.0,0.0,15.0,0,0
345,5,0,90,True,46.0,0.002707392963954605,128.5,0,45
346,6,0,90,True,55.0,0.00046205384926889704,84.4,90,0
347,7,0,90,True,57.0,0.0040287211906920774,128.35,77,13
348,8,0,90,True,60.0,0.0006931694951118563,163.85000000000002,0,45
349,9,0,90,True,56.0,0.0022787670958911883,124.80000000000001,71,19
350,0,0,90,False,98.0,0.21596704346776585,156.60000000000002,45,45
351,1,0,90,False,99.0,0.21125128779773827,,45,45
352,2,0,90,False,98.0,0.21674937014306284,114.0,45,45
353,3,0,90,False,99.0,0.20706092083806893,133.0,45,45
354,4,0,90,False,98.0,0.20460222856247526,62.400000000000006,45,45
355,5,0,90,False,99.0,0.20753313482313962,226.45000000000002,45,45
356,6,0,90,False,99.0,0.22597396764306552,141.20000000000002,45,45
357,7,0,90,False,98.0,0.23591216587472966,102.65,45,45
358,8,0,90,False,98.0,0.23557592383943102,,45,45
359,9,0,90,False,99.0,0.23252056509953065,92.30000000000001,45,45
360,0,0,95,True,51.0,0.0011023616871348922,127.0,94,0
361,1,0,95,True,54.0,0.010782554837038905,133.15,47,47
362,2,0,95,True,48.0,0.00040740352711128515,132.20000000000002,53,41
363,3,0,95,True,53.0,0.0009094542959630221,131.85,60,34
364,4,0,95,True,43.0,0.012741808066783405,163.75,57,37
365,5,0,95,True,64.0,0.005099322449402235,162.25,49,45
